Site Category Name,Sub Category Name,Category ID,Category Name,Questions,Audit Question Default value,Findings (Assertive Statement),Risk,Actions/Recommendation,Action Category,UA-UC,Risk Severity,Risk Probability,Color Code,Cost Type,Combined Risk Rating,Note
Client Leased,External Warehouse,A.1,Review of Legal Compliance,Is Factory license available ? If applicable,NA,Factory License is not available,Legal issue may occur,Factory License should be made available,Certificates,Others,Very High,Very High,Black,Capex,225,
Client Leased,External Warehouse,A.2,Review of Legal Compliance,Is Fire NOC Available ? Check the validity,,Fire NOC is not available,Legal issue may occur,Fire NOC should be obtained from the fire department,Certificates,Others,Very High,Very High,Black,Capex,225,
Client Leased,External Warehouse,A.3,Review of Legal Compliance,Is FORM B Or Equivanlent Documnent  for Fire Fighting system available?,NA,FORM B or Equivalnet document is not available,Legal issue may occur,Form B should be made available from the Fire license holder agency.,Certificates,Others,Very High,Very High,Black,Opex,150,Form B may require Cost hence Opex point
Client Leased,External Warehouse,A.4,Review of Legal Compliance,Is Gram panchayat NOC available ? Check for the validity,NA,Gram Panchayat NOC not available,Legal issue may occur,NOC should be obtained from the Gram Panchayat,Certificates,Others,High,High,Black,Capex,96,
Client Leased,External Warehouse,A.5,Review of Legal Compliance,Is CTO license available ? Check the validity,NA,CTO license is not available,Legal issue may occur,CTO should be obtained from the Pollution control board,CTO,Others,High,High,Black,Capex,96,Consent to Operate by Pollution Dept.
Client Leased,External Warehouse,A.6,Review of Legal Compliance,Is Form 4 (Haz. Waste Annual return) submitted to PCB ? Check for the records,NA,Haz. Waste return not submitted,Legal issue may occur,Hazardous waste return should be submitted to the state pollution control board,Legal,Others,High,High,Black,Opex,96,
Client Leased,External Warehouse,A.7,Review of Legal Compliance,Is Environment Statement i.e. Form 5 Submitted to PCB (for FM dedicated facility) ? Check for the records,NA,Environment Statement i.e. Form 5 not submitted to PCB (for FM dedicated facility),Legal issue may occur,Environment Statement i.e. Form 5 should be submitted to PCB (for FM dedicated facility),Legal,Others,High,High,Black,Opex,96,PCB - Pollution Control Board
Client Leased,External Warehouse,A.8,Review of Legal Compliance,Is Building Insurance policy available ? Check for the validity,NA,Building Insurance policy not available,Capital loss in case there is some major damage in the building due to fire or any other natural calamities,Building insurance policy should be obtained from the landlord,Insurance,Others,High,High,Black,Capex,144,
Client Leased,External Warehouse,A.9,Review of Legal Compliance,Is DG NOC available from Chief Electrical Inspector ?,NA,DG NOC is not available from Chief Electrical Inspector,Legal issue may occur,DG NOC should be obtained from Chief Electrical Inspector,Certificates,Others,High,High,Black,Capex,96,
Client Leased,External Warehouse,A.10,Review of Legal Compliance,Is Earthing resistance test certificate available ? Check for the validity,,Earthing resistance test certificate not available,Auditor will not be able to validate the test conducted,Earthing resistance test should be done and certificate of the same should be obtained,Certificates,Others,High,High,Red,Opex,64,
Client Leased,External Warehouse,A.11,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all VNAs available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all VNAs is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of VNAs should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.12,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all Order Pickers available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all Order Pickers is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Order Pickers should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.13,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all stackers available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all Stackers is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Stackers should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.14,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all scissor lifts/Boom Lift available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all Scissor Lift/Boom lift is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Scissor Lifts/Boom lift should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.15,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all D/BOW shackles available? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all D/BOW Shackles is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of D/BOW Shackles should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.16,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all wire rope slings/Web Belt available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all Wire rope sling / Web belt is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of wire rope slings/Web Belt should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.17,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all Reach Trucks available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) for all Reach Truck is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Reach Trucks should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,Load test certificate (e.g. F-11 etc.) - Inspection form
Client Leased,External Warehouse,A.18,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all Fork lifts available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) of Forklift is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Forklift should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.19,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all BOPT available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) of BOPT is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of BOPT should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.20,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for HOPT available ? Check for the availability,,Load test certificate (e.g. F-11 etc.) of HOPT is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of HOPT should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.21,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for all Dock levellers available ? Check for the validity,,Load test certificate (e.g. F-11 etc.) of Dock levellers is not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of Dock leveller should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.22,Review of Legal Compliance,Is Load test certificate (e.g. F-11 etc.) for EOT crane available ? Check for the availability,,Load test certificate (e.g. F-11 etc.) for EOT crane in not available,"1. Life Risk
2. Legal Compliance issue",Load test certificate (e.g. F-11 etc.) of EOT Crane should be obtained from the 3rd Party competent authority/person,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.23,Review of Legal Compliance,"Is Forklift driver RTO license available ? If yes, check for the validity",,Forklift driver RTO license is not available,Legal issue may occur,Forklift driver RTO license must be available for all the forklift drivers,License,Others,Very High,High,Black,Opex,120,
Client Leased,External Warehouse,A.24,Review of Legal Compliance,Is drinking water tested six monthly as per IS 10500 standard and certificate is available ?,,Drinking water not tested on 6 monthly basis as per IS 10500 standard and no certificate available,Health issue to employees drinking that water,Drinking water test certificate should be obtained from the NABL accredited Laboratory on six monthly basis as per IS 10500 standard,Certificates,Others,High,Medium,Red,Opex,48,
Client Leased,External Warehouse,A.25,Review of Legal Compliance,Is annual Ambient air test monitoring report available ?,,Ambient air test monitoring report is not available,Legal issue may occur,Annual Ambient air test monitoring report should be obtained from the NABL accredited Laboratory,Certificates,Others,High,Low,Red,Opex,32,
Client Leased,External Warehouse,A.26,Review of Legal Compliance,Is DG stack emission test conducted on a yearly basis and test report is available?,NA,DG stack emission test not conducted on a yearly basis and no test report available,Legal issue may occur,DG stack emission test should be conducted on a yearly basis and test report should be available for same,Certificates,Others,High,Low,Black,Opex,48,
Client Leased,External Warehouse,A.27,Review of Legal Compliance,Is DG stack as per the state legal requirement ? Check for the height ?,NA,DG stack is not as per the state legal requirement,Legal issue may occur,DG stack should be installed as per the CPCB/SPCB,DG Stack,UA-UC,High,Low,Black,Capex,72,
Client Leased,External Warehouse,A.28,Review of Legal Compliance,Is Light lux level for warehouse checked on a Six Month basis ? Check for the records,,Light lux level for warehouse not checked on a six month basis & no records for same available,Major/minor incident due to low lux level,Light lux level for warehouse should be checked on a six month  basis & records for same should be available,Illumination,Others,High,High,Red,Opex,64,Can be done through mobile
Client Leased,External Warehouse,A.29,Review of Legal Compliance,"Is noise level checked on a yearly basis for the High noise equipment in day and night time as like for DG Sets, etc.?",NA,"Noise level not checked on a yearly basis for the High noise equipment in day and night time as like for DG Sets, etc.",Hearing loss to the personal,"Noise level should be checked on a yearly basis for the High noise equipment in day and night time as like for DG Sets, etc.",Environment,Others,Low,Low,Red,Opex,16,
Client Leased,External Warehouse,A.30,Review of Legal Compliance,Is Building Structural Stability certificate available ? Check for the validity,,Building Structural Stability certificate not available,"Life Risk of the employees working in the warehouse, also legal issues can occur",Structure stability certificate should be obtained from the 3rd party govt. authorized civil engineer,Certificates,Others,High,Low,Black,Capex,72,
Client Leased,External Warehouse,A.31,Review of Legal Compliance,Is stability certificate for the fabricated structure available ?  if any,,Stability certificate of fabricated structure is not available,Life Risk of the employees working in the warehouse,Stability certificate of fabricated structure should be obtained from 3rd Party competent authority,Certificates,Others,Very High,High,Black,Opex,120,
Client Leased,External Warehouse,A.32,Review of Legal Compliance,Is stability certificate for the Mezzanine floor available ? If applicable,,Stability certificate of Mezzanine is not available,Life Risk of the employees working in the warehouse,Stability certificate of Mezzanine should be obtained from 3rd party competent authority,Certificates,Others,Very High,High,Black,Opex,120,
